Pathway,Gene
2-Oxocarboxylic acid metabolism - Pseudomonas syringae pv. tomato DC3000,6
ABC transporters - Pseudomonas syringae pv. tomato DC3000,3
Acarbose and validamycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,2
"Alanine, aspartate and glutamate metabolism - Pseudomonas syringae pv. tomato DC3000",6
Amino sugar and nucleotide sugar metabolism - Pseudomonas syringae pv. tomato DC3000,4
Aminoacyl-tRNA biosynthesis - Pseudomonas syringae pv. tomato DC3000,22
Arginine and proline metabolism - Pseudomonas syringae pv. tomato DC3000,3
Arginine biosynthesis - Pseudomonas syringae pv. tomato DC3000,6
Benzoate degradation - Pseudomonas syringae pv. tomato DC3000,1
Biosynthesis of amino acids - Pseudomonas syringae pv. tomato DC3000,24
Biosynthesis of antibiotics - Pseudomonas syringae pv. tomato DC3000,52
Biosynthesis of secondary metabolites - Pseudomonas syringae pv. tomato DC3000,70
Biosynthesis of siderophore group nonribosomal peptides - Pseudomonas syringae pv. tomato DC3000,2
Biotin metabolism - Pseudomonas syringae pv. tomato DC3000,5
Butanoate metabolism - Pseudomonas syringae pv. tomato DC3000,6
C5-Branched dibasic acid metabolism - Pseudomonas syringae pv. tomato DC3000,2
Carbon metabolism - Pseudomonas syringae pv. tomato DC3000,4
Cationic antimicrobial peptide (CAMP) resistance - Pseudomonas syringae pv. tomato DC3000,1
Citrate cycle (TCA cycle) - Pseudomonas syringae pv. tomato DC3000,2
Cysteine and methionine metabolism - Pseudomonas syringae pv. tomato DC3000,9
DNA replication - Pseudomonas syringae pv. tomato DC3000,6
Degradation of aromatic compounds - Pseudomonas syringae pv. tomato DC3000,1
Fatty acid biosynthesis - Pseudomonas syringae pv. tomato DC3000,6
Fatty acid metabolism - Pseudomonas syringae pv. tomato DC3000,6
Folate biosynthesis - Pseudomonas syringae pv. tomato DC3000,6
Galactose metabolism - Pseudomonas syringae pv. tomato DC3000,1
Geraniol degradation - Pseudomonas syringae pv. tomato DC3000,1
Glutathione metabolism - Pseudomonas syringae pv. tomato DC3000,4
Glycerolipid metabolism - Pseudomonas syringae pv. tomato DC3000,1
Glycerophospholipid metabolism - Pseudomonas syringae pv. tomato DC3000,4
"Glycine, serine and threonine metabolism - Pseudomonas syringae pv. tomato DC3000",3
Glycolysis / Gluconeogenesis - Pseudomonas syringae pv. tomato DC3000,1
Homologous recombination - Pseudomonas syringae pv. tomato DC3000,7
Lipopolysaccharide biosynthesis - Pseudomonas syringae pv. tomato DC3000,17
Lysine biosynthesis - Pseudomonas syringae pv. tomato DC3000,2
Lysine degradation - Pseudomonas syringae pv. tomato DC3000,1
Metabolic pathways - Pseudomonas syringae pv. tomato DC3000,161
Methane metabolism - Pseudomonas syringae pv. tomato DC3000,1
Microbial metabolism in diverse environments - Pseudomonas syringae pv. tomato DC3000,17
Mismatch repair - Pseudomonas syringae pv. tomato DC3000,7
Monobactam biosynthesis - Pseudomonas syringae pv. tomato DC3000,1
Nicotinate and nicotinamide metabolism - Pseudomonas syringae pv. tomato DC3000,8
Novobiocin biosynthesis - Pseudomonas syringae pv. tomato DC3000,1
Nucleotide excision repair - Pseudomonas syringae pv. tomato DC3000,1
One carbon pool by folate - Pseudomonas syringae pv. tomato DC3000,3
Oxidative phosphorylation - Pseudomonas syringae pv. tomato DC3000,2
Pantothenate and CoA biosynthesis - Pseudomonas syringae pv. tomato DC3000,10
Pentose phosphate pathway - Pseudomonas syringae pv. tomato DC3000,1
Phenylalanine metabolism - Pseudomonas syringae pv. tomato DC3000,1
"Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas syringae pv. tomato DC3000",12
Polyketide sugar unit biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Porphyrin and chlorophyll metabolism - Pseudomonas syringae pv. tomato DC3000,25
Purine metabolism - Pseudomonas syringae pv. tomato DC3000,7
Pyrimidine metabolism - Pseudomonas syringae pv. tomato DC3000,7
Pyruvate metabolism - Pseudomonas syringae pv. tomato DC3000,1
Quorum sensing - Pseudomonas syringae pv. tomato DC3000,1
RNA degradation - Pseudomonas syringae pv. tomato DC3000,1
RNA polymerase - Pseudomonas syringae pv. tomato DC3000,3
Riboflavin metabolism - Pseudomonas syringae pv. tomato DC3000,4
Ribosome - Pseudomonas syringae pv. tomato DC3000,49
Selenocompound metabolism - Pseudomonas syringae pv. tomato DC3000,1
Starch and sucrose metabolism - Pseudomonas syringae pv. tomato DC3000,1
Streptomycin biosynthesis - Pseudomonas syringae pv. tomato DC3000,4
Sulfur metabolism - Pseudomonas syringae pv. tomato DC3000,3
Synthesis and degradation of ketone bodies - Pseudomonas syringae pv. tomato DC3000,1
Terpenoid backbone biosynthesis - Pseudomonas syringae pv. tomato DC3000,9
Thiamine metabolism - Pseudomonas syringae pv. tomato DC3000,5
Two-component system - Pseudomonas syringae pv. tomato DC3000,1
Tyrosine metabolism - Pseudomonas syringae pv. tomato DC3000,2
Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas syringae pv. tomato DC3000,5
"Valine, leucine and isoleucine biosynthesis - Pseudomonas syringae pv. tomato DC3000",3
"Valine, leucine and isoleucine degradation - Pseudomonas syringae pv. tomato DC3000",6
Vitamin B6 metabolism - Pseudomonas syringae pv. tomato DC3000,5
beta-Alanine metabolism - Pseudomonas syringae pv. tomato DC3000,1
